feature,mean_abs_shap
regime,1.1396091
regime_prob_1,0.2103538
regime_prob_5,0.20368661
energy_index,0.1963657
regime_prob_4,0.15914655
sovereign_rating,0.157172
regime_prob_0,0.155069
regime_prob_3,0.14360899
hcpi_6m_vol,0.11892667
debt_gdp,0.10412006
ecpi_6m_vol,0.09920863
energy_index_12m_chg,0.094788805
primary_balance,0.09424725
oil_price_6m_vol,0.092565194
oil_price_12m_chg,0.09224336
hcpi_mom_change,0.090516195
fcpi_mom_change,0.089955494
ppi_yoy,0.07799789
energy_index_3m_chg,0.07776632
hcpi_yoy_lag2,0.07754239
ecpi_yoy_lag2,0.07606596
private_credit_gdp,0.06544674
headline_food_gap,0.059622753
hcpi_yoy,0.058321003
ecpi_mom_change,0.057148587
fcpi_yoy_lag2,0.056746017
food_commodity_index,0.056618974
fcpi_yoy_lag1,0.053759012
headline_core_gap_m,0.05292772
fcpi_6m_vol,0.051061902
hcpi_yoy_lag1,0.05078726
component_disp_m,0.048887763
ccpi_yoy,0.04746309
fcpi_yoy,0.044208255
ccpi_6m_vol,0.04296135
ccpi_mom_change,0.040793527
food_energy_gap_m,0.040289853
food_commodity_index_12m_chg,0.039636377
ccpi_yoy_lag2,0.03821585
fiscal_balance,0.037662853
headline_energy_gap,0.037252285
ecpi_yoy_lag1,0.037152886
ecpi_yoy,0.035518024
regime_prob_2,0.033284362
ccpi_yoy_lag1,0.028131116
region_Europe_and_Central_Asia,0.021249836
region_East_Asia_and_Pacific,0.014989448
is_emde,0.013043241
income_encoded,0.0067420104
region_Middle_East__North_Africa__Afghanistan_and_Pakistan,0.005939931
region_North_America,0.004007413
region_Latin_America_and_the_Caribbean,0.0025765572
region_Sub_Saharan_Africa,0.0025129868
region_South_Asia,0.0
