Variable,Bin,Model_P_transition,Actual_rate,N
Debt/GDP,0-30,0.2932,0.2635,334
Debt/GDP,30-50,0.3106,0.2813,807
Debt/GDP,50-60,0.3512,0.2857,385
Debt/GDP,60-70,0.3324,0.2948,363
Debt/GDP,70-80,0.3324,0.3095,252
Debt/GDP,80-90,0.2531,0.2647,238
Debt/GDP,90-100,0.2959,0.2844,109
Debt/GDP,100-120,0.3099,0.3022,225
Debt/GDP,120+,0.3182,0.319,163
Sovereign Rating,CCC-B-,0.1895,0.2452,261
Sovereign Rating,B to B+,0.3177,0.2968,721
Sovereign Rating,BB- to BB,0.3506,0.2953,430
Sovereign Rating,BB+ to BBB,0.3519,0.2955,335
Sovereign Rating,BBB+ to A,0.3231,0.2932,324
Sovereign Rating,A+ to AAA,0.3608,0.2755,548
